id;major;semester;subject;description;is_lab;units;lab_type;shift
50;65;2;ES64A;SOCIEDADE E POLITICA NO BRASIL;0;2;0;I
51;65;3;ES63A;TECNOLOGIA E SOCIEDADE;0;2;0;I
52;65;4;ES34A;FILOSOFIA DA CIENCIA E DA TECNOLOGIA;0;2;0;I
53;65;1;FI61A;FISICA 1;0;3;0;I
1;65;1;IF61A;INTRODUÇÃO A ENGENHARIA DE COMPUTAÇÃO;0;2;0;I
2;65;1;IF61B;ALGORITMOS;0;3;0;I
3;65;1;IF61C;LOGICA PARA COMPUTAÇÃO;0;2;0;I
4;65;2;IF62A;TECNICAS DE PROGRAMAÇÃO;0;2;0;I
5;65;3;IF63A;ESTRUTURA DE DADOS;0;1;0;I
6;65;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;0;2;0;I
7;65;4;IF64A;BANCO DE DADOS 1;0;2;0;I
8;65;4;IF64B;ANALISE DE ALGORITMOS;0;2;0;I
9;65;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;0;3;0;I
10;65;4;MA64B;MATEMATICA DISCRETA;0;4;0;I
11;65;5;ET65A;ELETRONICA GERAL 1;0;2;0;I
12;65;5;IF65A;TEORIA DA COMPUTAÇÃO;0;2;0;I
13;65;5;IF65B;BANCO DE DADOS 2;0;2;0;I
14;65;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;0;2;0;I
15;65;5;IF65D;ARQUITETURA DE COMPUTADORES;0;2;0;I
16;65;5;IF65E;ELETRONICA DIGITAL;0;2;0;I
17;65;5;IF65F;TRANSMISSÃO DE DADOS;0;2;0;I
18;65;6;IF66A;COMPILADORES;0;2;0;I
19;65;6;IF66B;ENGENHARIA DE SOFTWARE;0;2;0;I
20;65;6;IF66C;SISTEMAS OPERACIONAIS;0;2;0;I
21;65;6;IF66D;SISTEMAS MICROCONTROLADOS;0;2;0;I
22;65;6;IF66E;SISTEMAS DE CONTROLE;0;2;0;I
23;65;6;IF66F;ELETRONICA GERAL 2;0;4;0;I
24;65;6;IF66G;OFICINA DE INTEGRAÇÃO 1;0;1;0;I
25;65;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;0;2;0;I
26;65;7;IF67B;INTELIGENCIA ARTIFICIAL;0;2;0;I
27;65;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;0;2;0;I
28;65;7;IF67D;REDES DE COMPUTADORES;0;2;0;I
29;65;7;IF67E;LOGICA RECONFIGURAVEL;0;2;0;I
30;65;7;IF67F;PROCESSAMENTO DIGITAL DE SINAIS;0;2;0;I
31;65;7;IF67G;OFICINA DE INTEGRAÇÃO 2;0;1;0;I
32;65;8;IF68B;PROGRAMAÇÃO PARA WEB;0;2;0;I
33;65;8;IF68C;SISTEMAS DISTRIBUIDOS;0;2;0;I
34;65;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;0;2;0;I
35;65;8;IF68E;SISTEMAS EMBARCADOS;0;2;0;I
36;65;8;IF68X;Desenvolvimento de Jogos;0;2;0;I
37;65;8;IF68Z;Game Design;0;2;0;I
38;65;8;IF69A;MULTIMIDIA;0;2;0;I
39;65;8;IF69B;PROGRAMAÇÃO PARA TV DIGITAL;0;2;0;I
40;65;8;IF69I;PROGRAMAÇÃO PARA APLICAÇÕES COMERCIAIS;0;2;0;I
41;65;8;IF69J;QUALIDADE DE SOFTWARE;0;2;0;I
42;65;8;IF69K;ARQUITETURA DE SOFTWARE;0;2;0;I
43;65;8;IF69L;TESTE E VALIDAÇÃO DE SOFTWARE;0;2;0;I
44;65;8;IF69M;METODOLOGIAS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE;0;2;0;I
45;65;8;IF69N;TÓPICOS EM ENGENHARIA DE SOFTWARE;0;2;0;I
46;65;8;IF69O;COMPUTAÇÃO GRÁFICA;0;2;0;I
47;65;8;IF69P;PROCESSAMENTO DE IMAGENS;0;2;0;I
48;65;8;IF69R;TÓPICOS EM PROGRAMAÇÃO DE SISTEMAS;0;2;0;I
49;65;8;IF69S;PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS;0;2;0;I
54;65;1;MA61A;CALCULO DIFERENCIAL E INTEGRAL 1;0;6;0;I
55;65;1;MA61B;GEOMETRIA ANALITICA E ALGEBRA LINEAR;0;6;0;I
56;65;2;CE61A;COMUNICAÇÃO ORAL E ESCRITA;0;2;0;I
57;65;2;DE62A;DESENHO TECNICO;0;1;0;I
58;65;2;ES62B;CIENCIAS DO AMBIENTE;0;2;0;I
59;65;2;FI62A;FISICA 2;0;3;0;I
60;65;2;MA62A;CALCULO DIFERENCIAL E INTEGRAL 2;0;4;0;I
61;65;2;QB62A;QUIMICA;0;4;0;I
62;65;3;ET63A;ELETRICIDADE E MAGNETISMO;0;3;0;I
63;65;3;MA63A;CALCULO DIFERENCIAL E INTEGRAL 3;0;4;0;I
64;65;3;MA63B;EQUAÇÕES DIFERENCIAIS;0;4;0;I
65;65;3;MA63C;PROBABILIDADE E ESTATISTICA;0;4;0;I
66;65;3;ME63A;FENOMENOS DE TRANSPORTE;0;1;0;I
67;65;4;CE64A;METODOLOGIA DA PESQUISA;0;2;0;I
68;65;4;MA64A;METODOS DE MATEMATICA APLICADA;0;4;0;I
69;65;4;ME64A;MECANICA GERAL 1;0;4;0;I
70;65;5;ME65A;PRINCIPIOS DE RESISTENCIA DOS MATERIAIS;0;2;0;I
71;65;7;GE67A;EMPREENDEDORISMO;0;2;0;I
72;65;8;GE68A;GESTÃO EMPRESARIAL;0;2;0;I
73;65;8;GE68B;ECONOMIA;0;2;0;I
74;55;1;IF61A;INTRODUÇÃO A ENGENHARIA DE COMPUTAÇÃO;0;2;0;N
75;55;1;IF61B;ALGORITMOS;0;3;0;N
76;55;1;IF61C;LOGICA PARA COMPUTAÇÃO;0;2;0;N
77;55;2;IF62A;TECNICAS DE PROGRAMAÇÃO;0;2;0;N
78;55;3;IF63A;ESTRUTURA DE DADOS;0;1;0;N
79;55;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;0;2;0;N
80;55;4;IF64A;BANCO DE DADOS 1;0;2;0;N
81;55;4;IF64B;ANALISE DE ALGORITMOS;0;2;0;N
82;55;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;0;3;0;N
83;55;5;IF65B;BANCO DE DADOS 2;0;2;0;N
84;55;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;0;2;0;N
85;55;5;IF65D;ARQUITETURA DE COMPUTADORES;0;2;0;N
86;55;6;IF66A;COMPILADORES;0;2;0;N
87;55;6;IF66B;ENGENHARIA DE SOFTWARE;0;2;0;N
88;55;6;IF66C;SISTEMAS OPERACIONAIS;0;2;0;N
89;55;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;0;2;0;N
90;55;7;IF67B;INTELIGENCIA ARTIFICIAL;0;2;0;N
91;55;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;0;2;0;N
92;55;7;IF67D;REDES DE COMPUTADORES;0;2;0;N
93;55;8;IF68B;PROGRAMAÇÃO PARA WEB;0;2;0;N
94;55;8;IF68C;SISTEMAS DISTRIBUIDOS;0;2;0;N
95;55;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;0;2;0;N
96;55;8;IF69I;PROGRAMAÇÃO PARA APLICAÇÕES COMERCIAIS;0;2;0;N
97;55;8;IF69J;QUALIDADE DE SOFTWARE;0;2;0;N
98;55;8;IF69K;ARQUITETURA DE SOFTWARE;0;2;0;N
99;55;8;IF69L;TESTE E VALIDAÇÃO DE SOFTWARE;0;2;0;N
100;55;8;IF69M;METODOLOGIAS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE;0;2;0;N
101;55;8;IF69N;TÓPICOS EM ENGENHARIA DE SOFTWARE;0;2;0;N
102;55;8;IF69R;TÓPICOS EM PROGRAMAÇÃO DE SISTEMAS;0;2;0;N
103;55;8;IF69S;PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS;0;2;0;N
2;65;1;IF61B;ALGORITMOS;1;3;1;I
3;65;1;IF61C;LOGICA PARA COMPUTAÇÃO;1;2;1;I
4;65;2;IF62A;TECNICAS DE PROGRAMAÇÃO;1;2;1;I
5;65;3;IF63A;ESTRUTURA DE DADOS;1;2;1;I
6;65;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;1;2;1;I
7;65;4;IF64A;BANCO DE DADOS 1;1;2;1;I
8;65;4;IF64B;ANALISE DE ALGORITMOS;1;1;1;I
12;65;5;IF65A;TEORIA DA COMPUTAÇÃO;1;1;1;I
13;65;5;IF65B;BANCO DE DADOS 2;1;2;1;I
14;65;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;1;1;1;I
15;65;5;IF65D;ARQUITETURA DE COMPUTADORES;1;2;1;I
18;65;6;IF66A;COMPILADORES;1;2;1;I
19;65;6;IF66B;ENGENHARIA DE SOFTWARE;1;2;1;I
